;Unit;Group;Sample;source;Latitude_1 (wgs84);Longitud_1 (wgs84);BOSL1s;BOSL1s.sd;BOSL1s.se;BOSLF;BOSLF.sd;BOSLF.se;BOSLM;BOSLM.sd;BOSLM.se;BOSLS;BOSLS.sd;BOSLS.se;IRSL1.2s/BOSL1s;IRSL1.2s/BOSL1s.sd;IRSL1.2s/BOSL1s.se;TL110oC;TL110oC.sd;TL110oC.se;TL110pos;TL110pos.sd;TL110pos.se;TL325pos;TL325pos.sd;TL325pos.se
60;Poti;Caninde;bp238;;-6.803553572;-42.96844525;3.79880973;0.630086264;0.315043132;12.37078024;7.358797985;3.679398992;21.19991727;0.517043682;0.258521841;66.4293025;7.272394787;3.636197394;119.2685764;32.58789281;16.29394641;21.23580765;0.720419646;0.360209823;98;1.469693846;0.734846923;339.75;3.710795063;1.855397532
10;Serra Grande;Serra Grande;bp244;;-10.46412023;-45.13084363;6.113642061;0.745957023;0.372978512;28.81278334;2.473218372;1.236609186;16.17891468;1.060264813;0.530132406;55.00830199;2.777437939;1.388718969;33.84037133;4.216778031;2.108389016;44.74841075;0.632262835;0.316131418;95.75;1.723368794;0.861684397;327.6;3.888444419;1.94422221
61;Piaui;Balsas;bp63;;-4.995217669;-42.40562621;3.816811864;0.178967692;0.089483846;10.29092677;1.64465473;0.822327365;19.80327426;1.312437341;0.65621867;69.90579897;2.234205344;1.117102672;98.63151059;9.933979307;4.966989654;55.80572034;1.245262324;0.622631162;95.3;1.039230485;0.519615242;332.55;5.94726828;2.97363414
66;Piaui;Balsas;bp64;;-5.083420743;-42.40713337;3.779820368;0.309535677;0.154767839;10.39752725;1.002507738;0.501253869;21.76578517;2.730891956;1.365445978;67.83668759;2.205519082;1.102759541;135.1325837;48.11162201;24.055811;23.18603583;2.867070094;1.433535047;93.95;2.7;1.35;334.8;11.47867588;5.739337941
67;Piaui;Balsas;bp67;;-5.162898375;-42.37025331;4.210698404;0.687637161;0.34381858;14.29994614;6.058808818;3.029404409;21.69679019;1.572815919;0.786407959;64.00326367;7.443403997;3.721701999;84.56994844;30.20857256;15.10428628;25.31502029;1.405396733;0.702698366;99.35;3.07408523;1.537042615;325.8;3.286335345;1.643167673
62;Piaui;Balsas;bp68;;-5.203298378;-42.29006026;7.073394913;0.441588521;0.220794261;30.95271253;1.984380727;0.992190363;20.44569425;1.585753589;0.792876795;48.60159322;2.797919664;1.398959832;54.69622063;7.854559338;3.927279669;33.60589728;0.271505989;0.135752995;96.65;2.264950331;1.132475165;327.6;4.647580015;2.323790008
23;Cabecas;Caninde;bp72;;-5.43448776;-41.37490471;5.664404707;0.87500412;0.43750206;23.46590619;4.47931575;2.239657875;22.13387098;4.474726481;2.237363241;54.40022283;8.727232118;4.363616059;95.85484131;16.73067496;8.365337478;19.97069069;0.819182539;0.409591269;120.05;2.7;1.35;341.1;5.596427432;2.798213716
1;Serra Grande;Serra Grande;bp75a;;-5.31239348;-41.19359952;20.87408525;4.935586724;2.467793362;56.92144674;7.282880899;3.641440449;10.49431121;2.005394359;1.00269718;32.58424205;5.735528129;2.867764065;5.382587037;4.323772899;2.161886449;75.40597306;2.356304642;1.178152321;94.85;1.723368794;0.861684397;319.05;3.991240409;1.995620204
34;Cabecas;Caninde;bp78;;-5.367152751;-41.4784853;23.77908166;4.25975322;2.12987661;54.35446785;7.210156107;3.605078054;11.36595467;6.642890003;3.321445001;34.27957749;3.39701793;1.698508965;2.963969053;1.803949575;0.901974787;62.37639785;1.482084724;0.741042362;94.4;1.469693846;0.734846923;330.75;2.7;1.35
24;Cabecas;Caninde;bp79;;-5.201188219;-41.68708973;54.31200739;3.489390133;1.744695067;62.69481287;5.202812493;2.601406246;27.16599572;5.434838667;2.717419333;10.13919141;0.980833245;0.490416623;0.330622642;0.167552127;0.083776063;76.54074748;1.491209498;0.745604749;96.2;1.469693846;0.734846923;336.6;3.286335345;1.643167673
