;Unit;Group;Sample;source;Latitude_1 (wgs84);Longitud_1 (wgs84);BOSL1s;BOSL1s.sd;BOSL1s.se;BOSLF;BOSLF.sd;BOSLF.se;BOSLM;BOSLM.sd;BOSLM.se;BOSLS;BOSLS.sd;BOSLS.se;IRSL1.2s/BOSL1s;IRSL1.2s/BOSL1s.sd;IRSL1.2s/BOSL1s.se;TL110oC;TL110oC.sd;TL110oC.se;TL110pos;TL110pos.sd;TL110pos.se;TL325pos;TL325pos.sd;TL325pos.se
40;Longa;Caninde;bp172;;-8.785558853;-47.85535451;3.629092905;0.1824913;0.09124565;9.607905904;2.010864479;1.005432239;20.1916075;1.7880704;0.8940352;70.2004866;0.679342356;0.339671178;88.41146403;5.062570394;2.531285197;29.88240416;0.135566046;0.067783023;99.35;2.264950331;1.132475165;331.2;1.469693846;0.734846923
41;Longa;Caninde;bp173;;-8.790810089;-47.78019349;6.789340831;0.653031078;0.326515539;30.14429438;2.643948921;1.321974461;20.25647155;0.397370692;0.198685346;49.59923407;2.987100457;1.493550228;46.07329589;2.174010175;1.087005088;30.53323779;0.63605322;0.31802661;100.25;3.991240409;1.995620204;335.25;0.9;0.45
26;Cabecas;Caninde;bp174;;-8.843008749;-47.85531455;12.90170341;0.796916467;0.398458234;36.71268957;4.214857962;2.107428981;19.52565966;3.429435926;1.714717963;43.76165077;2.586558542;1.293279271;5.132445363;3.266150135;1.633075068;65.26681728;2.852985798;1.426492899;94.85;0.9;0.45;329.85;2.264950331;1.132475165
37;Cabecas;Caninde;bp175;;-9.03669245;-47.93918715;15.39798437;1.371490741;0.685745371;44.94947038;2.453905091;1.226952546;20.31700526;2.638159418;1.319079709;34.73352436;1.426980418;0.713490209;4.11079469;0.780078314;0.390039157;25.44661237;2.003541921;1.00177096;96.2;5.29905652;2.64952826;337.05;7.403377608;3.701688804
27;Cabecas;Caninde;bp177;;-9.024304314;-47.83034496;20.84338722;1.734533024;0.867266512;51.3642074;4.294972552;2.147486276;20.8643495;3.056981871;1.528490935;27.77144311;2.692212459;1.346106229;2.669310769;1.028412712;0.514206356;39.82279611;2.9737209;1.48686045;94.85;3.07408523;1.537042615;331.65;4.733920151;2.366960076
42;Longa;Caninde;bp179;;-9.061718423;-47.73505469;5.154079782;0.368334992;0.184167496;21.43139688;2.344388374;1.172194187;19.32396964;1.990027688;0.995013844;59.24463348;2.484326901;1.242163451;51.91680131;5.177342041;2.58867102;29.71710709;0.36978297;0.184891485;95.75;2.7;1.35;333.45;5.170106382;2.585053191
43;Longa;Caninde;bp180;;-9.063906382;-47.73244433;3.405226126;0.027341982;0.013670991;6.816485316;0.690682545;0.345341273;20.5390055;1.585701199;0.792850599;72.64450918;1.337378126;0.668689063;77.77343509;3.53402107;1.767010535;29.81171353;0.386950166;0.193475083;99.8;1.469693846;0.734846923;337.5;1.039230485;0.519615242
17;Pimenteiras;Caninde;bp181;;-9.529887521;-48.57851245;3.657504895;0.116640231;0.058320115;10.11868948;1.607441707;0.803720854;21.53070698;3.329073057;1.664536528;68.35060354;4.782690212;2.391345106;93.1656494;2.702491794;1.351245897;30.57426761;0.306222989;0.153111494;99.35;5.170106382;2.585053191;335.7;3.117691454;1.558845727
28;Cabecas;Caninde;bp182;;-9.545803819;-48.51725682;6.368454019;2.447746157;1.223873078;22.65138982;7.872832315;3.936416158;14.79103935;3.241052515;1.620526258;62.55757083;9.299019477;4.649509739;20.21288201;12.49228108;6.246140539;73.65615855;1.271324748;0.635662374;95.75;1.723368794;0.861684397;329.85;3.991240409;1.995620204
18;Pimenteiras;Caninde;bp184;;-9.445899926;-48.1624373;13.23552256;0.837669074;0.418834537;43.32794158;4.035702564;2.017851282;17.27434344;3.272616244;1.636308122;39.39771498;2.297622386;1.148811193;5.566941297;2.103915968;1.051957984;19.77587652;0.806198729;0.403099364;94.85;1.723368794;0.861684397;329.4;3.888444419;1.94422221
74;Motuca;Balsas;bp185;;-4.882388262;-43.38319531;4.964970051;0.287584635;0.143792317;23.36301619;1.249794687;0.624897344;17.38071596;1.455006009;0.727503004;59.25626785;2.573333548;1.286666774;101.7202456;6.147890284;3.073945142;28.01372859;0.870562174;0.435281087;110.6;10.49571341;5.247856705;328.5;3.117691454;1.558845727
